Proto,Source IP,Source Port,Src netmask,Destination IP,Destination Port,Dst netmask,TCP flags,Data Packets,Data Octets,First time ms,Last time ms,Notes
udp,10.1.1.10,10001,24,10.2.0.5,5060,24,0,3,300,0,30000,Host 10.1.1.10 scans network 10.2.0.0/24
udp,10.1.1.10,10002,24,10.2.0.6,5060,24,0,3,300,10,30010,
udp,10.1.1.10,10003,24,10.2.0.7,5060,24,0,3,300,20,30020,
udp,10.1.1.10,10004,24,10.2.0.8,5060,24,0,3,300,30,30030,
udp,10.1.1.10,10005,24,10.2.0.9,5060,24,0,3,300,40,30040,
udp,10.1.1.10,10006,24,10.2.0.10,5060,24,0,342,409600,50,30050,Host 10.1.1.10 infects host 10.2.0.10
udp,10.2.0.10,5060,24,10.1.1.10,10006,24,0,28,16700,60,30060,Host 10.1.1.10 infects host 10.2.0.10
udp,10.1.1.10,10007,24,10.2.0.11,5060,24,0,3,300,70,30070,
udp,10.1.1.10,10008,24,10.2.0.12,5060,24,0,3,300,80,30080,
udp,10.1.1.10,10009,24,10.2.0.13,5060,24,0,3,300,90,30090,
udp,10.1.1.10,10010,24,10.2.0.14,5060,24,0,3,300,100,30100,
udp,10.1.1.10,10011,24,10.2.0.15,5060,24,0,3,300,110,30110,
udp,10.1.1.10,10012,24,10.2.0.16,5060,24,0,3,300,120,30120,
udp,10.1.1.10,10013,24,10.2.0.17,5060,24,0,3,300,130,30130,
udp,10.1.1.10,10014,24,10.2.0.18,5060,24,0,3,300,140,30140,
udp,10.1.1.10,10015,24,10.2.0.19,5060,24,0,3,300,150,30150,
udp,10.1.1.10,10016,24,10.2.0.20,5060,24,0,3,300,160,30160,
udp,10.1.1.10,10017,24,10.2.1.5,5060,24,0,3,300,170,30170,Host 10.1.1.10 scans network 10.2.1.0/24
udp,10.1.1.10,10018,24,10.2.1.6,5060,24,0,3,300,180,30180,
udp,10.1.1.10,10019,24,10.2.1.7,5060,24,0,3,300,190,30190,
udp,10.1.1.10,10020,24,10.2.1.8,5060,24,0,3,300,200,30200,
udp,10.1.1.10,10021,24,10.2.1.9,5060,24,0,3,300,210,30210,
udp,10.1.1.10,10022,24,10.2.1.10,5060,24,0,3,300,220,30220,
udp,10.1.1.10,10023,24,10.2.1.11,5060,24,0,342,409600,230,30230,Host 10.1.1.10 infects host 10.2.1.11
udp,10.2.1.11,5060,24,10.1.1.10,10023,24,0,28,16700,240,30240,Host 10.1.1.10 infects host 10.2.1.11
udp,10.1.1.10,10024,24,10.2.1.12,5060,24,0,3,300,250,30250,
udp,10.1.1.10,10025,24,10.2.1.13,5060,24,0,3,300,260,30260,
udp,10.1.1.10,10026,24,10.2.1.14,5060,24,0,3,300,270,30270,
udp,10.1.1.10,10027,24,10.2.1.15,5060,24,0,3,300,280,30280,
udp,10.1.1.10,10028,24,10.2.1.16,5060,24,0,3,300,290,30290,
udp,10.1.1.10,10029,24,10.2.1.17,5060,24,0,3,300,300,30300,
udp,10.1.1.10,10030,24,10.2.1.18,5060,24,0,3,300,310,30310,
udp,10.1.1.10,10031,24,10.2.1.19,5060,24,0,3,300,320,30320,
udp,10.1.1.10,10032,24,10.2.1.20,5060,24,0,3,300,330,30330,
udp,10.1.1.10,10033,24,10.2.2.5,5060,24,0,3,300,340,30340,Host 10.1.1.10 scans network 10.2.2.0/24
udp,10.1.1.10,10034,24,10.2.2.6,5060,24,0,3,300,350,30350,
udp,10.1.1.10,10035,24,10.2.2.7,5060,24,0,3,300,360,30360,
udp,10.1.1.10,10036,24,10.2.2.8,5060,24,0,3,300,370,30370,
udp,10.1.1.10,10037,24,10.2.2.9,5060,24,0,3,300,380,30380,
udp,10.1.1.10,10038,24,10.2.2.10,5060,24,0,3,300,390,30390,
udp,10.1.1.10,10039,24,10.2.2.11,5060,24,0,3,300,400,30400,
udp,10.1.1.10,10040,24,10.2.2.12,5060,24,0,342,409600,410,30410,Host 10.1.1.10 infects host 10.2.2.12
udp,10.2.2.12,5060,24,10.1.1.10,10040,24,0,28,16700,420,30420,Host 10.1.1.10 infects host 10.2.2.12
udp,10.1.1.10,10041,24,10.2.2.13,5060,24,0,3,300,430,30430,
udp,10.1.1.10,10042,24,10.2.2.14,5060,24,0,3,300,440,30440,
udp,10.1.1.10,10043,24,10.2.2.15,5060,24,0,3,300,450,30450,
udp,10.1.1.10,10044,24,10.2.2.16,5060,24,0,3,300,460,30460,
udp,10.1.1.10,10045,24,10.2.2.17,5060,24,0,3,300,470,30470,
udp,10.1.1.10,10046,24,10.2.2.18,5060,24,0,3,300,480,30480,
udp,10.1.1.10,10047,24,10.2.2.19,5060,24,0,3,300,490,30490,
udp,10.1.1.10,10048,24,10.2.2.20,5060,24,0,3,300,500,30500,
udp,10.1.1.10,10049,24,10.2.3.5,5060,24,0,3,300,510,30510,Host 10.1.1.10 scans  network 10.2.3.0/24
udp,10.1.1.10,10050,24,10.2.3.6,5060,24,0,3,300,520,30520,
udp,10.1.1.10,10051,24,10.2.3.7,5060,24,0,3,300,530,30530,
udp,10.1.1.10,10052,24,10.2.3.8,5060,24,0,3,300,540,30540,
udp,10.1.1.10,10053,24,10.2.3.9,5060,24,0,3,300,550,30550,
udp,10.1.1.10,10054,24,10.2.3.10,5060,24,0,3,300,560,30560,
udp,10.1.1.10,10055,24,10.2.3.11,5060,24,0,3,300,570,30570,
udp,10.1.1.10,10056,24,10.2.3.12,5060,24,0,3,300,580,30580,
udp,10.1.1.10,10057,24,10.2.3.13,5060,24,0,342,409600,590,30590,Host 10.1.1.10 infects host 10.2.3.13
udp,10.2.3.13,5060,24,10.1.1.10,10057,24,0,28,16700,600,30600,Host 10.1.1.10 infects host 10.2.3.13
udp,10.1.1.10,10058,24,10.2.3.14,5060,24,0,3,300,610,30610,
udp,10.1.1.10,10059,24,10.2.3.15,5060,24,0,3,300,620,30620,
udp,10.1.1.10,10060,24,10.2.3.16,5060,24,0,3,300,630,30630,
udp,10.1.1.10,10061,24,10.2.3.17,5060,24,0,3,300,640,30640,
udp,10.1.1.10,10062,24,10.2.3.18,5060,24,0,3,300,650,30650,
udp,10.1.1.10,10063,24,10.2.3.19,5060,24,0,3,300,660,30660,
udp,10.1.1.10,10064,24,10.2.3.20,5060,24,0,3,300,670,30670,
udp,10.1.1.10,10065,24,10.2.4.5,5060,24,0,3,300,680,30680,Host 10.1.1.10 scans network 10.2.4.0/24
udp,10.1.1.10,10066,24,10.2.4.6,5060,24,0,3,300,690,30690,
udp,10.1.1.10,10067,24,10.2.4.7,5060,24,0,3,300,700,30700,
udp,10.1.1.10,10068,24,10.2.4.8,5060,24,0,3,300,710,30710,
udp,10.1.1.10,10069,24,10.2.4.9,5060,24,0,3,300,720,30720,
udp,10.1.1.10,10070,24,10.2.4.10,5060,24,0,3,300,730,30730,
udp,10.1.1.10,10071,24,10.2.4.11,5060,24,0,3,300,740,30740,
udp,10.1.1.10,10072,24,10.2.4.12,5060,24,0,3,300,750,30750,
udp,10.1.1.10,10073,24,10.2.4.13,5060,24,0,3,300,760,30760,
udp,10.1.1.10,10074,24,10.2.4.14,5060,24,0,342,409600,770,30770,Host 10.1.1.10 infects host 10.2.4.14
udp,10.2.4.14,5060,24,10.1.1.10,10074,24,0,28,16700,780,30780,Host 10.1.1.10 infects host 10.2.4.14
udp,10.1.1.10,10075,24,10.2.4.15,5060,24,0,3,300,790,30790,
udp,10.1.1.10,10076,24,10.2.4.16,5060,24,0,3,300,800,30800,
udp,10.1.1.10,10077,24,10.2.4.17,5060,24,0,3,300,810,30810,
udp,10.1.1.10,10078,24,10.2.4.18,5060,24,0,3,300,820,30820,
udp,10.1.1.10,10079,24,10.2.4.19,5060,24,0,3,300,830,30830,
udp,10.1.1.10,10080,24,10.2.4.20,5060,24,0,3,300,840,30840,
udp,10.1.1.10,10081,24,10.2.5.5,5060,24,0,3,300,850,30850,Host 10.1.1.10 scans network 10.2.5.0/24
udp,10.1.1.10,10082,24,10.2.5.6,5060,24,0,3,300,860,30860,
udp,10.1.1.10,10083,24,10.2.5.7,5060,24,0,3,300,870,30870,
udp,10.1.1.10,10084,24,10.2.5.8,5060,24,0,3,300,880,30880,
udp,10.1.1.10,10085,24,10.2.5.9,5060,24,0,3,300,890,30890,
udp,10.1.1.10,10086,24,10.2.5.10,5060,24,0,3,300,900,30900,
udp,10.1.1.10,10087,24,10.2.5.11,5060,24,0,3,300,910,30910,
udp,10.1.1.10,10088,24,10.2.5.12,5060,24,0,3,300,920,30920,
udp,10.1.1.10,10089,24,10.2.5.13,5060,24,0,3,300,930,30930,
udp,10.1.1.10,10090,24,10.2.5.14,5060,24,0,3,300,940,30940,
udp,10.1.1.10,10091,24,10.2.5.15,5060,24,0,342,409600,950,30950,Host 10.1.1.10 infects host 10.2.5.15
udp,10.2.5.15,5060,24,10.1.1.10,10091,24,0,28,16700,960,30960,Host 10.1.1.10 infects host 10.2.5.15
udp,10.1.1.10,10092,24,10.2.5.16,5060,24,0,3,300,970,30970,
udp,10.1.1.10,10093,24,10.2.5.17,5060,24,0,3,300,980,30980,
udp,10.1.1.10,10094,24,10.2.5.18,5060,24,0,3,300,990,30990,
udp,10.1.1.10,10095,24,10.2.5.19,5060,24,0,3,300,1000,31000,
udp,10.1.1.10,10096,24,10.2.5.20,5060,24,0,3,300,1010,31010,
udp,10.1.1.10,10097,24,10.2.6.5,5060,24,0,3,300,1020,31020,Host 10.1.1.10 scans network 10.2.6.0/24
udp,10.1.1.10,10098,24,10.2.6.6,5060,24,0,3,300,1030,31030,
udp,10.1.1.10,10099,24,10.2.6.7,5060,24,0,3,300,1040,31040,
udp,10.1.1.10,10100,24,10.2.6.8,5060,24,0,3,300,1050,31050,
udp,10.1.1.10,10101,24,10.2.6.9,5060,24,0,3,300,1060,31060,
udp,10.1.1.10,10102,24,10.2.6.10,5060,24,0,3,300,1070,31070,
udp,10.1.1.10,10103,24,10.2.6.11,5060,24,0,3,300,1080,31080,
udp,10.1.1.10,10104,24,10.2.6.12,5060,24,0,3,300,1090,31090,
udp,10.1.1.10,10105,24,10.2.6.13,5060,24,0,3,300,1100,31100,
udp,10.1.1.10,10106,24,10.2.6.14,5060,24,0,3,300,1110,31110,
udp,10.1.1.10,10107,24,10.2.6.15,5060,24,0,3,300,1120,31120,
udp,10.1.1.10,10108,24,10.2.6.16,5060,24,0,342,409600,1130,31130,Host 10.1.1.10 infects host 10.2.6.16
udp,10.2.6.16,5060,24,10.1.1.10,10108,24,0,28,16700,1140,31140,Host 10.1.1.10 infects host 10.2.6.16
udp,10.1.1.10,10109,24,10.2.6.17,5060,24,0,3,300,1150,31150,
udp,10.1.1.10,10110,24,10.2.6.18,5060,24,0,3,300,1160,31160,
udp,10.1.1.10,10111,24,10.2.6.19,5060,24,0,3,300,1170,31170,
udp,10.1.1.10,10112,24,10.2.6.20,5060,24,0,3,300,1180,31180,
udp,10.1.1.10,10113,24,10.2.7.5,5060,24,0,3,300,1190,31190,Host 10.1.1.10 scans network 10.2.7.0/24
udp,10.1.1.10,10114,24,10.2.7.6,5060,24,0,3,300,1200,31200,
udp,10.1.1.10,10115,24,10.2.7.7,5060,24,0,3,300,1210,31210,
udp,10.1.1.10,10116,24,10.2.7.8,5060,24,0,3,300,1220,31220,
udp,10.1.1.10,10117,24,10.2.7.9,5060,24,0,3,300,1230,31230,
udp,10.1.1.10,10118,24,10.2.7.10,5060,24,0,3,300,1240,31240,
udp,10.1.1.10,10119,24,10.2.7.11,5060,24,0,3,300,1250,31250,
udp,10.1.1.10,10120,24,10.2.7.12,5060,24,0,3,300,1260,31260,
udp,10.1.1.10,10121,24,10.2.7.13,5060,24,0,3,300,1270,31270,
udp,10.1.1.10,10122,24,10.2.7.14,5060,24,0,3,300,1280,31280,
udp,10.1.1.10,10123,24,10.2.7.15,5060,24,0,3,300,1290,31290,
udp,10.1.1.10,10124,24,10.2.7.16,5060,24,0,3,300,1300,31300,
udp,10.1.1.10,10125,24,10.2.7.17,5060,24,0,342,409600,1310,31310,Host 10.1.1.10 infects host 10.2.7.17
udp,10.2.7.17,5060,24,10.1.1.10,10125,24,0,28,16700,1320,31320,Host 10.1.1.10 infects host 10.2.7.17
udp,10.1.1.10,10126,24,10.2.7.18,5060,24,0,3,300,1330,31330,
udp,10.1.1.10,10127,24,10.2.7.19,5060,24,0,3,300,1340,31340,
udp,10.1.1.10,10128,24,10.2.7.20,5060,24,0,3,300,1350,31350,
udp,10.1.1.10,10129,24,10.2.8.5,5060,24,0,3,300,1360,31360,Host 10.1.1.10 scans network 10.2.8.0/24
udp,10.1.1.10,10130,24,10.2.8.6,5060,24,0,3,300,1370,31370,
udp,10.1.1.10,10131,24,10.2.8.7,5060,24,0,3,300,1380,31380,
udp,10.1.1.10,10132,24,10.2.8.8,5060,24,0,3,300,1390,31390,
udp,10.1.1.10,10133,24,10.2.8.9,5060,24,0,3,300,1400,31400,
udp,10.1.1.10,10134,24,10.2.8.10,5060,24,0,3,300,1410,31410,
udp,10.1.1.10,10135,24,10.2.8.11,5060,24,0,3,300,1420,31420,
udp,10.1.1.10,10136,24,10.2.8.12,5060,24,0,3,300,1430,31430,
udp,10.1.1.10,10137,24,10.2.8.13,5060,24,0,3,300,1440,31440,
udp,10.1.1.10,10138,24,10.2.8.14,5060,24,0,3,300,1450,31450,
udp,10.1.1.10,10139,24,10.2.8.15,5060,24,0,3,300,1460,31460,
udp,10.1.1.10,10140,24,10.2.8.16,5060,24,0,3,300,1470,31470,
udp,10.1.1.10,10141,24,10.2.8.17,5060,24,0,3,300,1480,31480,
udp,10.1.1.10,10142,24,10.2.8.18,5060,24,0,342,409600,1490,31490,Host 10.1.1.10 infects host 10.2.8.18
udp,10.2.8.18,5060,24,10.1.1.10,10142,24,0,28,16700,1500,31500,Host 10.1.1.10 infects host 10.2.8.18
udp,10.1.1.10,10143,24,10.2.8.19,5060,24,0,3,300,1510,31510,
udp,10.1.1.10,10144,24,10.2.8.20,5060,24,0,3,300,1520,31520,
udp,10.1.1.10,10145,24,10.2.9.5,5060,24,0,3,300,1530,31530,Host 10.1.1.10 scans network 10.2.9.0/24
udp,10.1.1.10,10146,24,10.2.9.6,5060,24,0,3,300,1540,31540,
udp,10.1.1.10,10147,24,10.2.9.7,5060,24,0,3,300,1550,31550,
udp,10.1.1.10,10148,24,10.2.9.8,5060,24,0,3,300,1560,31560,
udp,10.1.1.10,10149,24,10.2.9.9,5060,24,0,3,300,1570,31570,
udp,10.1.1.10,10150,24,10.2.9.10,5060,24,0,3,300,1580,31580,
udp,10.1.1.10,10151,24,10.2.9.11,5060,24,0,3,300,1590,31590,
udp,10.1.1.10,10152,24,10.2.9.12,5060,24,0,3,300,1600,31600,
udp,10.1.1.10,10153,24,10.2.9.13,5060,24,0,3,300,1610,31610,
udp,10.1.1.10,10154,24,10.2.9.14,5060,24,0,3,300,1620,31620,
udp,10.1.1.10,10155,24,10.2.9.15,5060,24,0,3,300,1630,31630,
udp,10.1.1.10,10156,24,10.2.9.16,5060,24,0,3,300,1640,31640,
udp,10.1.1.10,10157,24,10.2.9.17,5060,24,0,3,300,1650,31650,
udp,10.1.1.10,10158,24,10.2.9.18,5060,24,0,3,300,1660,31660,
